Formulario,nom_hum,reg_jur,asp,cat_manejo,nombre_asp,nom_cuenc,tipo_hum,clase_hum,nat_art,Perimetro_m,Area_Has
9525,Humedal arbolado Zapote 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, guacimo)",Natural,6929.409651,83.95995489
9524,Humedal arbolado Zapote 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,"Pantano arbolado (gavilan, sangrillo, guacimo)",Natural,6116.216792,74.6549915
9523,Las Marias 12,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,859.3346469,0.5133502277
9522,Las Marias 11,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,516.8008561,0.5737093419
9521,Las Marias 10,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,963.624692,4.581135814
9520,Las Marias 9,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,620.6140472,0.3898104687
9519,Las Marias 8,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,341.2728516,0.2160028132
9518,Las Marias 7,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,568.5694308,0.509341244
9517,Las Marias 6,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,3692.428528,8.178717349
9540,Humedal Puerto Viejo 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,265.1167666,0.354146104
9539,Humedal Puerto Viejo 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,3908.689418,11.97594582
9541,Starke-La Trinidad,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,"Pantano arbolado (gavilan, guacimo)",Natural,17074.03632,260.9983278
9542,Colegio Bilingue,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1130.718563,1.961264223
9543,Palustre Chirripa 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1774.433248,2.192646418
9544,Palustre Chirripa 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1816.900533,3.525534037
9545,Palustre Chirripa 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1026.840157,1.142653734
9546,Laguna Hotel Sueno Azul 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Lacustre,Laguna,Artificial,960.4120574,2.054422644
9547,Laguna Hotel Sueno Azul 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Lacustre,Laguna,Artificial,717.1910584,1.041500707
9548,Laguna Hotel Sueno Azul 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Lacustre,Laguna,Artificial,334.6250229,0.4802429937
9549,Humedal Sueno Azul 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2443.446242,4.109843696
9550,Humedal Sueno Azul 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,717.0745571,1.778033674
9551,Humedal Sueno Azul 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2905.813253,6.356429833
9552,Horquetas Buenos Aires,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,345.0315096,0.4726020128
9553,Nazaret 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,347.901145,0.184570878
9554,Nazaret 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,262.585668,0.1790027262
9555,Nazaret 3,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,1522.336871,0.9118158989
9556,Nazaret 4,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,3347.230587,1.989789884
9559,Nazaret 7,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2759.972764,1.967499668
9558,Nazaret 6,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,744.6776487,0.3182450438
9557,Nazaret 5,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Sarapiqui,Palustre,Pantano herbaceo,Natural,2450.764533,2.069857972
9560,Humedal Cubujuqui 1,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,660.8945612,0.3557664218
9561,Humedal Cubujuqui 2,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Palustre,Pantano herbaceo,Natural,181.4722234,0.04580752174
9562,Laguna Cubujuqui,Propiedad privada / En posesion,Fuera,N/A,Fueras ASP,Chirripo,Lacustre,Laguna,Artificial,114.7008076,0.07259913265
