Formulario,nom_hum,Bosques,Charr_Taco,Sabanas,Reforest,Gan_Intens,Gan_Extens,Agricult,Tipo_Agr,Acuacult,Pesca,Moluscos,Extr_Recur,Infraestr,Turism_Com,Transp_Acu,Industria,Otros,IV,Shape_Area
,,0.5,0.3,0.3,0.1,-0.5,-0.2,-0.4,,0.1,0.1,-0.1,-0.3,-0.5,-0.1,-0.1,-0.2,,,
,,BO,CT,SA,RE,GI,GE,AG,,AC,PE,MO,EX,IN,TU,TR,ID,OT,,
38,Laguna Chocuaco,1,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,,0.50,8790.76123432000
39,Laguna El Silencio,0,0,0,1,0,0,1,Pina,0,1,0,0,0,0,0,0,,-0.20,24593.59419610000
40,Laguna Rancho Coco,0,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,-0.10,6642.59902182000
41,Laguna Bajo Reyes,0,1,1,1,0,0,0,,0,0,0,0,1,0,0,0,,0.20,1988.86079876000
42,Bajo Reyes,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,4425.06165265000
43,Hamacas,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,3154.48620506000
44,Santa Maria Pittier,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,2779.38207189000
45,Finca Taxadrop,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,848.08491800000
46,Laguna Aguabuena,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,8583.82560428000
47,Laguna Las Marias,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,2627.78206486000
48,El Socorro,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,4669.20783200000
49,Comunidad Encuentro,0,0,0,0,0,1,1,Forrajes,0,0,0,0,1,0,0,0,,-1.10,13939.63244660000
50,Laguna Marvin Perez,0,0,0,1,0,0,0,,0,1,0,0,1,0,0,0,,-0.30,855.31728049800
51,Laguna Kropf,0,0,0,0,0,0,1,Palma Africana,0,1,0,0,1,0,0,0,,-0.80,3363.16240629000
52,Tonino Papilli 1,0,0,0,0,0,1,1,Palma Africana,0,0,0,0,0,0,0,0,,-0.60,27413.16853410000
53,Tonino Papilli 2,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,18746.37452790000
54,Laguna El Zoncho (Julia),1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,,0.50,10096.97236240000
55,Franchesco Chiulli,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,7259.28453526000
56,Didier Fonseca,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,,-0.10,5920.86048494000
57,Jimevilla,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,Remosion de cobertura forestal,0.60,44761.37528120000
58,Ernesto Araya,0,1,0,1,0,1,0,,0,0,0,0,0,0,0,0,,0.20,2538.35584392000
59,Metaponto,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,4731.89407992000
60,Campo 2 y medio,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,4682.80398635000
61,El Paraguas 2 (Los Gamboa),1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.30,1843.52662385000
62,Metaponto 2,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,0,,-0.90,1315.83099078000
63,Luis Corrales,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,Zonas Verdes,-0.50,710.57518633900
64,Laguna Colorada,1,0,0,0,0,0,1,"Cafe, Cana de Azucar",0,0,0,0,0,0,0,0,,0.10,134764.41670400000
65,Adenago,1,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,0.40,822.55400570300
66,Jose Quiros,0,1,0,0,0,0,1,"Cafe, Cana india",0,0,0,0,0,0,0,0,,-0.10,12845.53566590000
67,Las Mercedes,0,1,0,0,0,1,1,Pina,0,0,0,0,1,0,0,0,,-0.80,4420.66254906000
68,El Chocuaco,0,0,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,-0.40,16505.37796510000
69,Las Brisas,0,0,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,-0.40,12437.01911570000
70,Lagua Los Esquivel,0,0,0,0,0,1,1,Cana de Azucar,0,0,0,0,0,0,0,0,,-0.60,50100.70077340000
71,La Georgina,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,,-0.40,23303.75410900000
72,Rodriguez Ulate,1,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,0.40,9606.20227603000
73,May Alvarado,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,9356.56742480000
74,Rolando Barrantes,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,24222.82851420000
75,Pista las Lagunas,1,1,0,0,0,0,1,"Pina, Chile dulce",0,1,0,0,1,0,0,0,,0.00,68006.57391960000
76,Eli Granda-Nestor Veas,1,1,0,1,0,1,0,,0,0,0,0,0,0,0,0,,0.70,56868.39163040000
77,Villa Flor 1,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,75734.97397590000
78,Mollejones,1,0,0,0,0,0,1,"Cana de Azucar, Platano, Cafe",0,0,0,0,1,0,0,0,,-0.40,3884.88718503000
79,Laguna Lourdes,1,1,0,0,0,1,1,Cafe,0,0,0,0,0,0,0,0,,0.20,4168.10996806000
80,Angelica del Sur,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,3156.79009618000
81,Edgar Ramirez,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,,0.40,2622.47372947000
82,Barrio Laboratorio,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,,0.90,1058.72106961000
83,Cocori,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,2736.85625828000
84,Laguna La Garza,0,0,0,0,0,0,1,Cafe,0,0,0,0,0,0,0,0,,-0.40,54449.59658120000
85,Los Tijos,0,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,1,0,0,0,,-0.60,13774.49383860000
86,Los Piches,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,6298.17949152000
87,La Ceniza,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,,-0.10,21657.16348440000
88,Coopeagri,1,0,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,0.10,10286.58058250000
89,Coopeagri 2,1,0,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,0.10,27308.42861910000
90,MINAE,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,18144.48823630000
91,UNA,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,2033.37126662000
92,Dora Obando,0,1,0,0,0,1,1,"Yuca, Cana de Azucar",0,0,0,0,0,0,0,0,,-0.30,57608.55962560000
93,Calle Vargas,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,6792.41018418000
94,Cristo Rey,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,2198.94961609000
95,Loma de Cocori,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.30,6741.76874630000
96,La Pluma,0,0,0,0,0,0,1,Cana de Azucar,0,0,0,0,1,0,0,0,,-0.90,9339.07633161000
97,Trans Roden,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,685.72151399200
98,Tambor,1,1,0,0,0,0,1,Cafe,0,0,0,0,0,0,0,0,,0.40,17004.86978750000
99,Los Naranjo,1,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,,0.10,2941.39113591000
100,Palo Verde,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,2509.62918827000
101,San Pablo,0,1,0,0,0,1,1,Cafe,0,0,0,0,0,0,0,0,,-0.30,3200.94330510000
102,Camposanto COOPEAGRI,0,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,Zona Verde,-0.10,33044.71288620000
103,La Familia 1,0,1,0,0,0,0,1,Cana de Azucar,0,0,0,0,0,0,0,0,,-0.10,8553.46544853000
104,VOLCAFE,1,1,0,0,0,0,1,Pina,0,0,0,0,0,0,0,0,,0.40,32993.34767430000
105,San Pablo,0,1,0,0,0,1,1,Cafe,0,0,0,0,0,0,0,0,,-0.30,9969.77336748000
106,Catarata Chontales,1,1,0,1,0,1,0,,0,0,0,0,0,1,0,0,,0.60,4420.25880546000
107,Chontales,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,46.66219535390
108,Turbera Jaboncillo,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,3680.80390302000
109,Tajo Jaboncillo,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,,-0.80,3410.15278973000
110,3 de Junio km 71,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.30,3120.61674441000
111,Km 68,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,26462.68583520000
112,Torre 27,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,3035.62639866000
113,El Empalme/Km 52,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0.50,16596.12682220000
114,Bajo Bijagual,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,66012.08322290000
115,Los Mayos,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.60,6346.16547101000
116,Laguna Ceibon,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0.10,142.05856781200
117,Bolas/Lagunillas,0,1,0,0,0,0,1,"Cafe, Platano",0,0,0,0,1,0,0,0,,-0.60,6143.28938714000
118,La Chonta,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,34867.20807860000
119,Abrojo - Montezuma,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0.00,13040.81156450000
120,La Cuesta,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,-0.20,3411.18645966000
